Source,Lever type,year,value,CPI,ExpensesGrowth
Baseline,expenditure,FY26,175682880,2,2
Baseline,expenditure,FY26,175682880,2,2.25
Baseline,expenditure,FY26,175682880,2,2.5
Baseline,expenditure,FY26,175682880,2,2.75
Baseline,expenditure,FY26,175682880,2,3
Baseline,expenditure,FY26,175682880,2,3.25
Baseline,expenditure,FY26,175682880,2,3.5
Baseline,expenditure,FY26,175682880,2,3.75
Baseline,expenditure,FY26,175682880,2,4
Baseline,expenditure,FY26,175682880,2,4.25
Baseline,expenditure,FY26,175682880,2,4.5
Baseline,expenditure,FY26,175682880,2,4.75
Baseline,expenditure,FY26,175682880,2,5
Baseline,expenditure,FY26,175682880,2,5.25
Baseline,expenditure,FY26,175682880,2.1,2
Baseline,expenditure,FY26,175682880,2.1,2.25
Baseline,expenditure,FY26,175682880,2.1,2.5
Baseline,expenditure,FY26,175682880,2.1,2.75
Baseline,expenditure,FY26,175682880,2.1,3
Baseline,expenditure,FY26,175682880,2.1,3.25
Baseline,expenditure,FY26,175682880,2.1,3.5
Baseline,expenditure,FY26,175682880,2.1,3.75
Baseline,expenditure,FY26,175682880,2.1,4
Baseline,expenditure,FY26,175682880,2.1,4.25
Baseline,expenditure,FY26,175682880,2.1,4.5
Baseline,expenditure,FY26,175682880,2.1,4.75
Baseline,expenditure,FY26,175682880,2.1,5
Baseline,expenditure,FY26,175682880,2.1,5.25
Baseline,expenditure,FY26,175682880,2.2,2
Baseline,expenditure,FY26,175682880,2.2,2.25
Baseline,expenditure,FY26,175682880,2.2,2.5
Baseline,expenditure,FY26,175682880,2.2,2.75
Baseline,expenditure,FY26,175682880,2.2,3
Baseline,expenditure,FY26,175682880,2.2,3.25
Baseline,expenditure,FY26,175682880,2.2,3.5
Baseline,expenditure,FY26,175682880,2.2,3.75
Baseline,expenditure,FY26,175682880,2.2,4
Baseline,expenditure,FY26,175682880,2.2,4.25
Baseline,expenditure,FY26,175682880,2.2,4.5
Baseline,expenditure,FY26,175682880,2.2,4.75
Baseline,expenditure,FY26,175682880,2.2,5
Baseline,expenditure,FY26,175682880,2.2,5.25
Baseline,expenditure,FY26,175682880,2.3,2
Baseline,expenditure,FY26,175682880,2.3,2.25
Baseline,expenditure,FY26,175682880,2.3,2.5
Baseline,expenditure,FY26,175682880,2.3,2.75
Baseline,expenditure,FY26,175682880,2.3,3
Baseline,expenditure,FY26,175682880,2.3,3.25
Baseline,expenditure,FY26,175682880,2.3,3.5
Baseline,expenditure,FY26,175682880,2.3,3.75
Baseline,expenditure,FY26,175682880,2.3,4
Baseline,expenditure,FY26,175682880,2.3,4.25
Baseline,expenditure,FY26,175682880,2.3,4.5
Baseline,expenditure,FY26,175682880,2.3,4.75
Baseline,expenditure,FY26,175682880,2.3,5
Baseline,expenditure,FY26,175682880,2.3,5.25
